name,latitude,longitude,ndwi
ASHTA 2,42.01168611,19.55194167,0.18178889
Banja / Banjë,40.96,20.068,0.26867118
Bele 1/2,42.06903611,20.46006667,-0.26179034
Bishnica 1/2,39.9169,20.1374,-0.56228507
Bistrica 1,39.9116,20.1047,-0.53326076
Cernaleve 1/2,42.02941667,20.55555278,-0.5460328
Fangu,41.705833,19.770278,-0.29908088
Fierza,42.2514,20.0431,0.4054331
Ftere 1,40.11119167,19.87758889,-0.59506005
Holta,40.92728056,20.22091667,-0.5377831
Koman,42.1033,19.8224,-0.1755653
Lanabregas,41.3428,19.8964,-0.51281434
Langarica 1/2/3,40.3098,20.47698056,-0.44896352
Lenie,40.76601389,20.39604444,-0.638795
Lura 1/3,41.81460833,20.21796944,-0.43836826
Moglicë,40.6939862,20.439501,-0.12649147
Oresheke,42.02874167,20.53076389,-0.48634765
Peshqesh,41.705833,19.770278,-0.29908088
Pobreg,42.085925,19.79325278,-0.6314482
Prelle,41.69380833,20.0131694,-0.57664496
Qarrishta 1,41.21956111,20.30383333,-0.48894432
Rajan 1/2,40.26653611,20.52168611,-0.233644
Shkalle,41.579025,20.12165833,-0.44579345
Shkopet,41.6796,19.8305,-0.67994463
Sllabinje,40.96899722,20.51337222,-0.5374211
Stravaj 2,41.0057,20.425,-0.58378404
Topojan 1/2,41.98756111,20.52793889,-0.4944071
Ulez,41.6796,19.8936,0.13927698
Vau i Dijes,42.0137,19.6359,-0.13544558
Vlushe,40.506225,20.310079,-0.4674316
Argel,40.3786,44.6069,-0.4267315
Arzni,40.2968,44.5875,-0.46877342
Harzdan,40.5078,44.7606,-0.41235724
Qanaqer HPP,40.2226,44.5134,-0.49230275
Sevan,40.5522,44.9513,-0.44287875
Shamb,39.4743,46.1306,-0.35757658
Spandaryan,39.6494,45.85,-0.26421928
Tatev,39.3956,46.2578,-0.4480763
Yerevan-1 HPP,40.191,44.484,-0.4282631
Yerevan-3 HPP,40.1642,44.5009,-0.4837921
Abwinden-Asten,48.248,14.4305,0.19935325
Altenmarkt,47.71944444,14.67222222,-0.24367896
Altenwörth Altenwoerth-KW - Altenwoerth Hydroelectric Power Plant Austria,48.374728,15.855343,0.2868445
Annabrücke Annabruecke Hydroelectric Power Plant Austria - Annabruecke Hydroelectric Power Plant Austria,46.561407,14.479829,-0.06588708
Arnstein,47.0167,15.1667,-0.71006006
Aschach,48.3853,14.023,0.25206622
Bischofshofen,47.407,13.2205,-0.11669774
Bodendorf mur,47.107688,14.065071,-0.3707091
Bodendorf paal,47.107717,14.065156,-0.37622175
Braunau-Simbach,48.244,13.006,0.41536114
Brennerwerk-M1,47.126999,11.453,-0.18661678
Bärenwerk,47.2166667,12.8166667,-0.60990644
Böckstein,47.79940564,13.04399014,-0.06614257
Bösdornau Boesdornau-KW - Boesdornau Hydroelectric Power Plant Austria,47.15192,11.833298,-0.44648236
Debant_1-M1,48.257999,16.389999,-0.35786763
Dießbach,47.5166667,12.8333333,-0.6008515
Dionysen,47.41,15.214,-0.5766818
Dorferbach-KW,47.02,12.362,-0.52571875
Edling Edling-KW - Edling Hydroelectric Power Plant Austria,46.628959,14.701371,0.07662016
